Title,Summary,Publication Date,Source,URL,Category
Hezbollah confirms death of leader Hassan Nasrallah after Israeli strikes on Beirut,"Hezbollah has confirmed the death of its leader, hours after the Israel Defense Forces said he died in a strike on Beirut on Friday.",25-10-10,BBC,https://www.bbc.comhttps://www.bbc.com/news/live/c981g8mrl8lt,General
Bowen: West left powerless as Israel claims its biggest victory yet against Hezbollah,Diplomats were hoping to calm matters - they will be looking at events with dismay.,25-10-10,BBC,https://www.bbc.com/news/articles/ckgn5xkp3rko,General
Who is Hezbollah leader Hassan Nasrallah?,He played a key role in turning Hezbollah into the political and military force it is today.,25-10-10,BBC,https://www.bbc.com/news/articles/c1wnp0vln19o,General
'A very dangerous and delicate moment for Lebanon',BBC Middle East Correspondent Hugo Bachega reports from Beirut as the IDF says it has killed the Hezbollah leader.,25-10-10,BBC,https://www.bbc.com/news/videos/c8j7134jjj0o,General
Watch: BBC correspondent records moment air strike hits Beirut,BBC reporters capture the moment and aftermath of an Israeli air strike in southern Lebanon.,25-10-10,BBC,https://www.bbc.com/news/videos/cd0zvj0y9d7o,General
Top stories,"Helene marked one of the largest storms to hit the US, causing widespread devastation across the southeast",25-10-10,BBC,https://www.bbc.com/news/articles/czd13mezz7mo,Disaster
At least 43 dead as Helene pummels south-east US,Fifteen women and two men were killed in a targeted attack on a village in Lusikisiki police say.,25-10-10,BBC,https://www.bbc.com/news/articles/cx25vperv9go,Crime
Manhunt under way as 17 people killed in South Africa mass shooting,"After 72 million years underground, the 600lb (272kg) head was carefully excavated and moved to a museum.",25-10-10,BBC,https://www.bbc.com/news/videos/cvgx4njwgjdo,General
Massive dinosaur skull unearthed in Northern Alberta,For months a huge iceberg blocked the path of hundreds of penguin chicks but somehow they survived.,25-10-10,BBC,https://www.bbc.com/news/articles/c3wp4qnljd1o,General
Penguin chicks survive colossal tearaway iceberg,"The unofficial event has been compared to other viral flops, including the Wonka experience.",25-10-10,BBC,https://www.bbc.com/news/articles/cx2kj45yy88o,General
Bridgerton ball promised glamour. It descended into chaos,Fifteen women and two men were killed in a targeted attack on a village in Lusikisiki police say.,25-10-10,BBC,https://www.bbc.com/news/articles/cx25vperv9go,Crime
Manhunt under way as 17 people killed in South Africa mass shooting,"As elections are held after a 10-year gap, people in Kashmir say they have waited long to be heard.",25-10-10,BBC,https://www.bbc.com/news/articles/cx20rr57g16o,Politics
Kashmir hopes for a voice after first election in 10 years,She was a multi award-winning actress - but Dame Maggie Smith never loved the limelight.,25-10-10,BBC,https://www.bbc.com/news/articles/cx2kl4338ddo,General
"'Never shy on stage, always shy off it' - what Dame Maggie Smith was really like","Omar Al Fayed says the allegations have ""thrown into question the loving memory I had of him"".",25-10-10,BBC,https://www.bbc.com/news/articles/cvgdnmx3r43o,General
Al Fayed's son 'horrified' by sexual abuse allegations,"After 72 million years underground, the 600lb (272kg) head was carefully excavated and moved to a museum.",25-10-10,BBC,https://www.bbc.com/news/videos/cvgx4njwgjdo,General
Massive dinosaur skull unearthed in Northern Alberta,Escalating cross-border hostilities have heightened fears of an all-out conflict.,25-10-10,BBC,https://www.bbc.com/news/articles/cy89ez894rko,General
Japan's scandal-hit ruling party picks next PM,"After rocket attacks between Hezbollah and Israeli forces ramped up, the damage in southern Lebanon is clear",25-10-10,BBC,https://www.bbc.com/news/articles/cr4xz013zx7o,Crime
Austria's far right eyes unprecedented election win,"Nine people were killed in Shebaa, including two children, a pregnant woman and her unborn child.",25-10-10,BBC,https://www.bbc.com/news/articles/cj04955442ro,General
Myanmar rebels reject embattled junta's peace offer,The new plan packages up a series of regional objectives that have remained out of reach for diplomats for nearly two decades.,25-10-10,BBC,https://www.bbc.com/news/articles/cgeygelwljxo,General
'My liquid BBL went well but I regret it now I know the risks',Iran has sought to strike an unusually conciliatory tone in the face of attacks on its ally Hezbollah.,25-10-10,BBC,https://www.bbc.com/news/articles/cz6wg15nxvvo,Crime
Lana Del Rey reportedly marries alligator tour guide in Louisiana,How did a Philippine nature reserve get caught up in an information battle?,25-10-10,BBC,https://www.bbc.com/news/world-middle-east-67307858,General
Israeli strikes on Lebanon,There is a stark difference in how - and how often - each candidate addresses the US-China relationship.,25-10-10,BBC,https://www.bbc.com/news/videos/cjwdqx6e2yjo,General
